PAPEL,DATA-COM,PGTO,BRUTO,TIPO,QT
"ITSA3","18/12/2023","30/12/2024","0,0794","JCP","1"
"ITSA3","30/11/2023","02/01/2024","0,0235295","JCP","1"
"ITSA3","19/10/2023","30/12/2024","0,0515","JCP","1"
"ITSA3","21/09/2023","30/12/2024","0,1165","JCP","1"
"ITSA3","17/08/2023","02/10/2023","0,0235295","JCP","1"
"ITSA3","25/07/2023","30/12/2024","0,0515","JCP","1"
"ITSA3","22/06/2023","25/08/2023","0,1144","JCP","1"
"ITSA3","31/05/2023","03/07/2023","0,0235295","JCP","1"
"ITSA3","23/03/2023","25/08/2023","0,0773","JCP","1"
"ITSA3","28/02/2023","03/04/2023","0,0235295","JCP","1"
"ITSA3","08/12/2022","10/03/2023","0,141","JCP","1"
"ITSA3","08/12/2022","02/10/2023","0,0445","JCP","1"
"ITSA3","30/11/2022","02/01/2023","0,0235295","JCP","1"
"ITSA3","18/11/2022","02/10/2023","0,05154","JCP","1"
"ITSA3","31/08/2022","03/10/2022","0,0235295","JCP","1"
"ITSA3","18/08/2022","30/08/2022","0,0103","JCP","1"
"ITSA3","18/08/2022","02/10/2023","0,0494","JCP","1"
"ITSA3","31/05/2022","01/07/2022","0,0235295","JCP","1"
"ITSA3","24/03/2022","30/08/2022","0,11337","JCP","1"
"ITSA3","14/01/2022","11/03/2022","0,13334","JCP","1"
"ITSA3","13/12/2021","01/04/2022","0,0235295","JCP","1"
"ITSA3","30/11/2021","03/01/2022","0,0235295","JCP","1"
"ITSA3","23/11/2021","11/03/2022","0,15472","JCP","1"
"ITSA3","31/08/2021","01/10/2021","0,02","Dividendo","1"
"ITSA3","13/08/2021","26/08/2021","0,03734","JCP","1"
"ITSA3","31/05/2021","01/07/2021","0,02","Dividendo","1"
"ITSA3","24/05/2021","26/08/2021","0,0184","JCP","1"
"ITSA3","27/04/2021","26/08/2021","0,02131","JCP","1"
"ITSA3","25/03/2021","26/08/2021","0,01908","JCP","1"
"ITSA3","09/03/2021","26/08/2021","0,015456","JCP","1"
"ITSA3","26/02/2021","01/04/2021","0,02","Dividendo","1"
"ITSA3","22/01/2021","12/03/2021","0,0208","JCP","1"
"ITSA3","10/12/2020","12/03/2021","0,10165","JCP","1"
"ITSA3","30/11/2020","04/01/2021","0,02","Dividendo","1"
"ITSA3","31/08/2020","01/10/2020","0,02","Dividendo","1"
"ITSA3","17/08/2020","26/08/2020","0,02","Dividendo","1"
"ITSA3","29/05/2020","01/07/2020","0,02","Dividendo","1"
"ITSA3","28/02/2020","01/04/2020","0,02","Dividendo","1"
"ITSA3","20/02/2020","06/03/2020","0,226","Dividendo","1"
"ITSA3","20/02/2020","06/03/2020","0,2174","JCP","1"
"ITSA3","12/12/2019","06/03/2020","0,00595","JCP","1"
"ITSA3","29/11/2019","02/01/2020","0,02","Dividendo","1"
"ITSA3","30/08/2019","01/10/2019","0,02","Dividendo","1"
"ITSA3","15/08/2019","23/08/2019","0,3405","Dividendo","1"
"ITSA3","31/05/2019","01/07/2019","0,02","Dividendo","1"
"ITSA3","28/02/2019","01/04/2019","0,02","Dividendo","1"
"ITSA3","21/02/2019","07/03/2019","0,3111","JCP","1"
"ITSA3","21/02/2019","07/03/2019","0,4532","Dividendo","1"
"ITSA3","17/12/2018","07/03/2019","0,0081","JCP","1"
"ITSA3","30/11/2018","02/01/2019","0,02","Dividendo","1"
"ITSA3","31/08/2018","01/10/2018","0,015","Dividendo","1"
"ITSA3","17/08/2018","30/08/2018","0,0096","JCP","1"
"ITSA3","17/08/2018","30/08/2018","0,1992","Dividendo","1"
"ITSA3","30/05/2018","02/07/2018","0,015","Dividendo","1"
"ITSA3","28/02/2018","02/04/2018","0,015","Dividendo","1"
"ITSA3","22/02/2018","05/04/2018","0,1103","Dividendo","1"
"ITSA3","22/02/2018","07/03/2018","0,374","JCP","1"
"ITSA3","22/02/2018","05/04/2018","0,185","Dividendo","1"
"ITSA3","25/12/2017","30/04/2018","0,16806","JCP","1"
"ITSA3","30/11/2017","02/01/2018","0,015","Dividendo","1"
"ITSA3","31/08/2017","02/10/2017","0,015","Dividendo","1"
"ITSA3","23/02/2017","03/04/2017","0,015","Dividendo","1"
"ITSA3","20/02/2017","06/04/2017","0,1188","JCP","1"
"ITSA3","20/02/2017","03/03/2017","0,049","Dividendo","1"
"ITSA3","22/12/2016","28/04/2017","0,228","JCP","1"
"ITSA3","22/12/2016","30/06/2017","0,048","JCP","1"
"ITSA3","30/11/2016","02/01/2017","0,015","Dividendo","1"
"ITSA3","31/08/2016","03/10/2016","0,015","Dividendo","1"
