PAPEL,Setor,Subsetor,Segmento,Data,Valor,PL,DY,DIV,MLiquida,CagrLucro,CargReceita
"ITSA3","Financeiro e Outros","Intermediários Financeiros","Bancos","2022-08-26 20:08:25.759542","9,40","-","5,87","0,5517","-","-","-"
"ITSA4","Financeiro e Outros","Intermediários Financeiros","Bancos","2022-08-26 20:08:25.759542","9,34","-","5,91","0,5517","-","-","-"
"TAEE11","Utilidade Pública","Energia Elétrica","Energia Elétrica","2022-08-26 20:08:25.759542","40,40","-","13,15","5,3121","-","-","-"
"TRPL4","Utilidade Pública","Energia Elétrica","Energia Elétrica","2022-08-26 20:08:25.759542","23,54","-","6,31","1,4842","-","-","-"
"EGIE3","Utilidade Pública","Energia Elétrica","Energia Elétrica","2022-08-26 20:08:25.759542","40,57","-","5,52","2,2384","-","-","-"
"SANB11","Financeiro e Outros","Intermediários Financeiros","Bancos","2022-08-26 20:08:25.759542","30,14","-","8,59","2,5887","-","-","-"
"SANB3","Financeiro e Outros","Intermediários Financeiros","Bancos","2022-08-26 20:08:25.759542","14,48","-","8,51","1,2327","-","-","-"
"SANB4","Financeiro e Outros","Intermediários Financeiros","Bancos","2022-08-26 20:08:25.759542","15,67","-","8,65","1,3560","-","-","-"
"BBAS3","Financeiro e Outros","Intermediários Financeiros","Bancos","2022-08-26 20:08:25.759542","41,71","-","8,38","3,4973","-","-","-"
"VIVT4","Comunicações","Telecomunicações","Telecomunicações","2022-08-26 20:08:25.759542","45,34","-","-","0,0000","-","-","-"
"VIVT3","Comunicações","Telecomunicações","Telecomunicações","2022-08-26 20:08:25.759542","42,25","-","8,47","3,5774","-","-","-"
"UNIP6","Materiais Básicos","Químicos","Químicos Diversos","2022-08-26 20:08:25.759542","95,31","-","18,02","17,1709","-","-","-"
"KLBN11","Materiais Básicos","Madeira e Papel","Papel e Celulose","2022-08-26 20:08:25.759542","19,73","-","7,03","1,3862","-","-","-"
"KLBN4","Materiais Básicos","Madeira e Papel","Papel e Celulose","2022-08-26 20:08:25.759542","3,95","-","7,02","0,2772","-","-","-"
"KLBN3","Materiais Básicos","Madeira e Papel","Papel e Celulose","2022-08-26 20:08:25.759542","3,96","-","7,00","0,2772","-","-","-"
"BBSE3","Financeiro e Outros","Previdência e Seguros","Seguradoras","2022-08-26 20:08:25.759542","28,30","-","6,95","1,9661","-","-","-"
"PETR4","Petróleo. Gás e Biocombustíveis","Petróleo. Gás e Biocombustíveis","Exploração. Refino e Distribuição","2022-08-26 20:08:25.759542","33,54","-","49,70","16,6682","-","-","-"
"PETR3","Petróleo. Gás e Biocombustíveis","Petróleo. Gás e Biocombustíveis","Exploração. Refino e Distribuição","2022-08-26 20:08:25.759542","37,38","-","44,59","16,6682","-","-","-"
"VALE3","Materiais Básicos","Mineração","Minerais Metálicos","2022-08-26 20:08:25.759542","68,04","-","22,76","15,4886","-","-","-"
"WEGE3","Bens Industriais","Máquinas e Equipamentos","Motores . Compressores e Outros","2022-08-26 20:08:25.759542","28,81","-","1,63","0,4699","-","-","-"
"ABEV3","Consumo não Cíclico","Bebidas","Cervejas e Refrigerantes","2022-08-26 20:08:25.759542","15,66","-","3,85","0,6036","-","-","-"
"SAPR4","Utilidade Pública","Água e Saneamento","Água e Saneamento","2022-08-26 20:08:25.759542","3,60","-","6,57","0,2366","-","-","-"
"ELET6","Utilidade Pública","Energia Elétrica","Energia Elétrica","2022-08-26 20:08:25.759542","47,36","-","3,25","1,5393","-","-","-"
"CMIG4","Utilidade Pública","Energia Elétrica","Energia Elétrica","2022-08-26 20:08:25.759542","12,32","-","11,91","1,4669","-","-","-"
"B3SA3","Financeiro e Outros","Serviços Financeiros Diversos","Serviços Financeiros Diversos","2022-08-26 20:08:25.759542","12,42","-","5,69","0,7061","-","-","-"
"CCRO3","Bens Industriais","Transporte","Exploração de Rodovias","2022-08-26 20:08:25.759542","13,79","-","1,19","0,1636","-","-","-"
"SQIA3","Tecnologia da Informação","Programas e Serviços","Programas e Serviços","2022-08-26 20:08:25.759542","19,75","-","0,34","0,0665","-","-","-"
"CGAS5","Utilidade Pública","Gás","Gás","2022-08-26 20:08:25.759542","136,98","-","13,11","17,9526","-","-","-"
"TIET11","Utilidade Pública","Energia Elétrica","Energia Elétrica","2022-08-26 20:08:25.759542","12,54","-","-","0,0000","-","-","-"
"TIET4","Utilidade Pública","Energia Elétrica","Energia Elétrica","2022-08-26 20:08:25.759542","3,51","-","-","0,0000","-","-","-"
"TIET3","Utilidade Pública","Energia Elétrica","Energia Elétrica","2022-08-26 20:08:25.759542","3,49","-","-","0,0000","-","-","-"
"SULA11","Financeiro e Outros","Previdência e Seguros","Seguradoras","2022-08-26 20:08:25.759542","24,51","-","0,92","0,2247","-","-","-"
"PSSA3","Financeiro e Outros","Previdência e Seguros","Seguradoras","2022-08-26 20:08:25.759542","22,09","-","3,28","0,7248","-","-","-"
